strain	date	country	region	clade_membership	author	accession	location	database
93484	2024-01-24	Mexico	North America	A.D.1.5	Garza-Cabello,J.C.,Ruiz-Higareda,A.F.,Galan-Huerta,K.A.,Bocanegra-Ibarias,P.,Camacho-Ortiz,A.,Rivas-Estilla,A.M.	PQ599899		
93557	2024-01-30	Mexico	North America	A.D.1	Garza-Cabello,J.C.,Ruiz-Higareda,A.F.,Galan-Huerta,K.A.,Bocanegra-Ibarias,P.,Camacho-Ortiz,A.,Rivas-Estilla,A.M.	PQ599900		
330102010	2019-01-07	France	Europe	A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376821		
330103039	2020-01-20	France	Europe	A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376683		
358102021	2019-04-15	Finland	Europe	A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376627		
358103048	2020-03-11	Finland	Europe	A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376290		
390103014	2020-01-14	Italy	Europe	A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376611		
550101047	2018-07-23	Brazil	South America	A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376716		
550102160	2019-07-03	Brazil	South America	A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376487		
610102029	2019-06-23	Australia	Oceania	A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376715		
610103034	2021-01-03	Australia	Oceania	A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376774		
610103035	2021-01-04	Australia	Oceania	A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376498		
610103036	2021-01-05	Australia	Oceania	A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376516		
610103037	2021-01-05	Australia	Oceania	A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376803		
610103038	2021-01-05	Australia	Oceania	A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376515		
610103039	2021-01-06	Australia	Oceania	A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376812		
610103040	2021-01-06	Australia	Oceania	A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376529		
610103041	2021-01-08	Australia	Oceania	A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376544		
610103043	2021-01-09	Australia	Oceania	A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376833		
610103044	2021-01-11	Australia	Oceania	A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376575		
610103045	2021-01-19	Australia	Oceania	A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376365		
610103047	2021-01-21	Australia	Oceania	A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376396		
610103048	2021-01-25	Australia	Oceania	A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376429		
610103050	2021-01-28	Australia	Oceania	A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376759		
810101001	2017-12-11	Japan	Asia	A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376281		
OQ941767	2018-12-31	Australia	Oceania	A.D.1	Pangesti,K.N.A.,Ansari,H.R.,Bayoumi,A.,Kesson,A.M.,Hill-Cawthorne,G.A.,Abd El Ghany,M.	OQ941767		
PP352305	2018-12-31	USA	North America	A.D.1	Rios Guzman,E.,Simons,L.M.,Dean,T.J.,Agnes,F.,Pawlowski,A.,Alisoltanidehkordi,A.,Nam,H.H.,Ison,M.G.,Ozer,E.A.,Lorenzo-Redondo,R.,Hultquist,J.F.	PP352305		
SE02-0103-D02	2019-12-20	Spain	Europe	A.D.1	Lin,G.-L.,Drysdale,S.B.,Snape,M.D.,O'Connor,D.,Brown,A.,MacIntyre-Cockett,G.,Mellado-Gomez,E.,de Cesare,M.,Bonsall,D.,Ansari,M.A.,Oner,D.,Aerssens,J.,Butler,C.,Bont,L.,Openshaw,P.,Martinon-Torres,F.,Nair,H.,Bowden,R.,Golubchik,T.,Pollard,A.J.	MZ515777		
hRSV/A/Austria/MUW1228283/2020	2020-02-28	Austria	Europe	A.D.1	Redlberger-Fritz,M.,Springer,D.N.,Aberle,S.W.,Camp,J.V.,Aberle,J.H.	OQ261747		
H82	2017-12-31	USA	North America	A.D.1	Musa,A.O.,Faber,S.R.,Lopez,C.B.	PP525306	Pa	
hRSV/A/Germany/19-02698/2019	2019-02-17	Germany	Europe	A.D.1	Kondgen,S.,Reiche,J.	OR795381		
HRSV/A/USA/TX-HOU-R06687/2021	2021-06-21	USA	North America	A.D.1	Avadhanula,V.,Piedra,P.	PQ308736		
hRSV-A-D13J37Z3	2022-10-31	USA	North America	A.D.1	Gilbert,J.,Lauring,A.S.,Papalambros,L.K.	OR872589		
